Anti,smiles,cas
0,O=S(=O)(OCC1OC(OC2(COS(=O)(=O)O[AlH3](O)O)OC(COS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C2OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C1OS(=O)(=O)O[AlH3](O)O)O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O.O[AlH3](O)O,2535
1,O=S(=O)(O)O.Oc1cccc2cccnc12,2797
0,O=S(=O)(O)NC1CCCCC1,2534
0,O=S(=O)(NC1CCC11CCN(Cc2ccoc2)CC1)c1ccccc1,2533
0,O=S(=O)(NC1CC2(CCN(CC#N)CC2)Oc2ccccc12)C1CC1,2532
0,O=S(=O)(N1CC2CN(Cc3ccccc3)CC2C1)c1ccccc1,2531
0,O=S(=O)(N[C@H]1C[C@]2(C1)CCN(Cc1cccc(c1)C#N)C2)C1CC1,2530
0,O=S(=O)(Cc1ccccc1)N1CC2CN(Cc3ccccc3)CC2C1,2529
0,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,2528
0,O=S(=O)(C1CC1)N1CCOC2(CCCN(C2)c2ccccc2)C1,2527
0,O=S(=O)(C1CC1)N1CC[C@@H]2[C@H]1CCN2Cc1ccoc1,2526
0,O=S(=O)([O-])NC1CCCCC1.[Na+],2525
0,O=S(=O)([O-])CCSSCCS(=O)(=O)[O-].[Na+].[Na+],2524
0,O=S(=O)([O-])CCS.[Na+],2523
0,O=S(=O)([O-])CCCS(=O)(=O)[O-].[Na+].[Na+],2522
0,O=S(=O)([O-])c1cc(O)c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],2521
0,O=S(=O)([O-])c1cc(I)c(O)c2ncccc12.[Na+],2520
0,O=P1(NCCCl)OCCCN1CCCl,2519
0,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,2518
0,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O.[Na+],2517
0,O=P([O-])([O-])F.[Na+].[Na+],2516
0,O=NN(CCCl)C(=O)NCCCl,2515
0,O=NN(CCCl)C(=O)NC1CCCCC1,2514
0,O=Cc1ccccc1OC1OC(CO)C(O)C(O)C1O,2513
0,O=CC(O)C(O)C(O)CO,2512
1,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,2796
0,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2511
0,O=c1oc2cc(O)ccc2s1,2510
0,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,2509
0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,2508
0,O=C1OC(CO)C(O)C(O)C1O,2507
0,O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,2506
0,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2505
0,O=C1OC(C(O)CO)C(O)=C1O,2504
0,O=C1O[Bi](O)Oc2ccccc21,2503
0,O=C1NS(=O)(=O)c2ccccc21,2502
0,O=C1NC(=N[C@@]11CC[C@H]2CN(Cc3ccoc3)C[C@@H]12)c1ccccc1,2501
0,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,2500
1,O=C1CSC(=S)N1/N=C/c1ccc([N+](=O)[O-])s1,2795
0,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],2499
1,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,2794
0,O=C1CN(CC(=O)O[Sr]O1)c1sc2c(CC(=O)O[Sr]OC2=O)c1C#N,2498
0,O=C1CCO1,2497
0,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,2496
0,O=c1cccc2n1CC1CNCC2C1,2495
0,O=C1CCCC2C3CCCN4CCCC(CN12)C34,2494
0,O=C1CCCC2C3CCC[N+]4([O-])CCCC(CN12)C34,2493
0,O=C1CCCC2C3CC(CN12)C1CCCCN1C3.[O-][Cl+3]([O-])([O-])O,2492
0,O=c1cccc(C=Cc2ccc3c(c2)OCO3)o1,2491
0,O=c1ccc2ccccc2o1,2490
0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,2489
0,O=c1ccc2ccc(O)cc2o1,2488
0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,2487
0,O=C1CCC23C=CC(=O)NCCCCNCCCNC(=O)C=Cc4ccc(c2c4)OC3C1,2486
0,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2485
0,O=C1CCC(C(=O)O)N1,2484
0,O=C1CCC(C(=O)N2CSCC2C(=O)O)N1,2483
0,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46.O=S(=O)(O)O,2482
0,O=c1cc[nH]c(=O)[nH]1,2481
0,O=c1cc(CO)occ1O,2480
0,O=c1cc(-c2ccccc2O)oc2ccc(O)cc12,2479
0,O=c1cc(-c2ccccc2O)oc2cc(O)ccc12,2478
0,O=c1cc(-c2ccccc2)oc2ccccc12,2477
0,O=c1cc(-c2ccccc2)oc2ccc(O)cc12,2476
0,O=c1cc(-c2ccccc2)oc2cc(O)ccc12,2475
0,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,2474
0,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,2473
0,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,2472
0,O=c1cc(-c2cccc(O)c2)oc2ccc(O)cc12,2471
0,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12,2470
0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,2469
0,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,2468
0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,2467
0,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,2466
0,O=c1c2ccccc2oc2ccccc12,2465
0,O=c1c2ccccc2oc2ccc(O)cc12,2464
0,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,2463
0,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,2462
0,O=C1c2ccccc2C(=O)C1c1ccccc1,2461
0,O=C1c2ccccc2C(=O)C1c1ccc(Cl)cc1,2460
0,O=C1c2ccccc2C(=O)C1c1ccc(Br)cc1,2459
0,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,2458
0,O=C1C2CC3CC1CC(O)(C3)C2,2457
0,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,2456
0,O=C1c2c(O)cccc2Cc2cccc(O)c21,2455
0,O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,2454
0,O=C1c2c(O)cc(CO)cc2C(OC2OC(CO)C(O)C(O)C2O)c2cccc(OC3OC(CO)C(O)C(O)C3O)c21,2453
0,O=C1C=CC(=O)c2c(O)cccc21,2452
0,O=C1C=C2CC3(O)COc4cc(O)ccc4C3=C2C=C1O,2451
0,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,2450
0,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,2449
1,O=C1C=C2C(=CCOC2O)O1,2793
0,O=C1C=C(O)C(=O)c2ccccc21,2448
0,O=c1c(O)cccc2cc(O)c(O)c(O)c12,2447
0,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12,2446
0,O=c1c(O)c(-c2ccccc2)oc2ccccc12,2445
0,O=c1c(O)c(-c2ccccc2)oc2cccc(O)c12,2444
0,O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,2443
0,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,2442
0,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,2441
0,O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12,2440
0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,2439
0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,2438
0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2437
0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12,2436
0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12,2435
0,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,2434
0,O=C1C(O)=C(O)C(=O)C(O)=C1O,2433
0,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,2432
0,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,2431
0,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,2430
0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,2429
0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2428
0,O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,2427
0,O=C1C(=Cc2cccs2)CCCC1=Cc1cccs1,2426
0,O=c1[nH]cnc2nc[nH]c12,2425
0,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,2424
0,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,2423
0,O=c1[nH]cnc2[nH]ncc12,2422
0,O=c1[nH]cc(F)c(=O)[nH]1,2421
0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,2420
0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2419
0,O=c1[nH]c2cc(Cl)ccc2o1,2418
0,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,2417
1,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2792
0,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,2416
0,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,2415
0,O=c1[nH]c(=O)c2ccccc2o1,2414
0,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl.[Na+],2413
0,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],2412
0,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(CC1)c1ncccn1,2411
0,O=C(OOC(=O)c1ccccc1)c1ccccc1,2410
0,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,2409
0,O=C(OCCCCCCCCCCCCCCCC)CC[N+]1=CC=CC=C1,2877
0,O=C(OCCCCCC)C[N+]1=CC=CC=C1,2871
1,O=C(OCCC[N+]1=CC=CC=C1)CCCCCCCCCCC,2867
0,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,2408
0,O=C(OCc1ccccc1)c1cccnc1,2407
0,O=C(OCc1ccccc1)c1ccccc1,2406
1,O=C(OCC[N+]1=CC=CC=C1)CCCCCCCCCCC,2860
1,O=C(OCC[N+]1=CC=CC=C1)CCCCCCC/C=C/CCCCCCCC,2864
1,O=C(OCC[N+]1=CC=CC=C1)CCCCCCC,2861
0,O=C(OCC)C[N+]1=CC=CC=C1,2870
0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,2405
0,O=C(OC1CN2CCC1CC2)c1ccccc1,2404
0,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,2403
0,O=C(Oc1cccc2cccnc12)c1ccccc1,2402
0,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1.[Cl-],2401
0,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,2400
0,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1-c1c(C2Oc3cc(O)cc(O)c3CC2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,2399
0,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,2398
0,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(=O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3O)c2c1)c1cc(O)c(O)c(O)c1,2397
0,O=C(O)CSCC(=O)NC1CCSC1=O,2396
0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,2395
0,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,2394
0,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,2393
0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,2392
0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Na+].[Na+],2391
0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,2390
0,O=C(O)CCNC(=O)c1ccccc1,2389
0,O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,2388
0,O=C(O)CCCCCCCCCCCCC1C=CCC1,2387
0,O=C(O)CCCCCCCC(O)C(O)CCCCCCO,2386
0,O=C(O)CCCCCCCC(=O)O,2385
0,O=C(O)CCCCCCC(=O)O,2384
0,O=C(O)CCCCC1SCC2NC(=O)NC21,2383
0,O=C(O)CCCCC1CCSS1,2382
0,O=C(O)CCCCC(=O)O,2381
0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,2380
0,O=C(O)CCc1nc2ccccc2[nH]1,2379
0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,2378
0,O=C(O)CCC(=O)O.O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1,2377
0,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2376
0,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,2375
0,O=C(O)Cc1ccc(-c2ccccc2)cc1,2374
0,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,2373
0,O=C(O)CC[N+](=O)[O-],2372
0,O=C(O)CC(O)(CC(=O)O)C(=O)O,2371
0,O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,2370
0,O=C(O)C1CSCN1,2369
1,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2791
0,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,2368
0,O=C(O)c1cccnc1,2367
0,O=C(O)C1CCCN1,2366
0,O=C(O)c1ccccc1O,2365
0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,2364
0,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2363
0,O=C(O)c1ccccc1,2362
0,O=C(O)c1cccc(O)c1O,2361
0,O=C(O)c1cccc(C(=O)O)n1,2360
0,O=C(O)c1ccc2c(c1)OCO2,2359
0,O=C(O)c1ccc[n+]([O-])c1,2358
0,O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1,2357
0,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,2356
0,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2355
0,O=C(O)c1cc(O)ccc1O,2354
0,O=C(O)c1cc(O)c2cccc(O)c2n1,2353
0,O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,2352
0,O=C(O)c1cc(O)c(O)c(O)c1,2351
0,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,2350
0,O=C(O)C1CC(C2CCCCN2)CN2CCCCC12,2349
0,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,2348
0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,2347
0,O=C(O)c1cc(=O)c2ccccc2o1,2346
0,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,2345
0,O=C(O)c1c2ccccc2cc2ccccc12,2344
0,O=C(O)C1C(=CCO)OC2CC(=O)N21.[LiH],2343
0,O=C(O)C1=CC(O)C(O)C(O)C1,2342
0,O=C(O)C1(O)CC(O)C(O)C(O)C1,2341
0,O=C(O)C=Cc1ccc(O)c(O)c1,2340
0,O=C(O)C=Cc1ccc(Cn2ccnc2)cc1,2339
0,O=C(O)C=CC=Cc1ccccc1,2338
0,O=C(O)C=CC=Cc1ccc2c(c1)OCO2,2337
0,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,2336
0,O=C(O)C=CC(=O)O.c1ccc2nc(N3CCNCC3)ccc2c1,2335
0,O=C(O)C=C(CC(=O)O)C(=O)O,2334
0,O=C(O)C(S)C(S)C(=O)O,2333
0,O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2332
0,O=C(O)C(O)C(O)C(O)C(O)C(=O)O,2331
0,O=C(O)C(O)C(O)C(=O)O.OCc1cccnc1,2330
0,O=C(O)C(O)C(O)(Cc1ccc(O)cc1)C(=O)O,2329
0,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,2328
0,O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2327
0,O=C(NCCO[N+](=O)[O-])c1cccnc1,2326
0,O=C(NCCCN1CCOCC1)c1ccc(Cl)cc1,2325
0,O=C(NCc1ccccc1)OCCO,2324
0,O=C(NCC1CC1)[C@H]1C[C@@H]2CN(C[C@H]1O2)S(=O)(=O)c1ccccc1,2323
0,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,2322
0,O=C(NC1CCCCC1)NC1CCCCC1,2321
0,O=C(Nc1ccccc1)N1CC[C@H]2CNS(=O)(=O)[C@@H]2CC1,2320
0,O=C(Nc1ccccc1)N1C[C@H]2CC[C@@]3(N=C(NC3=O)c3ccccc3)[C@@H]2C1,2319
0,O=C(Nc1ccccc1)c1ccccc1O,2318
0,O=C(NC1CCC1)[C@H]1C[C@@H]2CN(C[C@H]1O2)S(=O)(=O)c1ccccc1,2317
0,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,2316
0,O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,2315
0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,2314
0,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,2313
0,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,2312
0,O=C(NC(O)C(Cl)(Cl)Cl)NC(O)C(Cl)(Cl)Cl,2311
1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2790
0,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,2310
0,O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,2309
0,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,2308
0,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,2307
0,O=C(N1CCCCCC1)c1ncn-2c1CNS(=O)(=O)c1ccccc-21,2306
0,O=C(CO)C(O)C(O)C(O)CO,2305
0,O=C(CNC(=O)c1ccc(Cl)cc1)NO,2304
1,O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12,2789
